Locality,MinPrice,MaxPrice,AvgRent,HouseType
Abbigere,5000,19000,12000,2BHK
Kithaganur Colony,8000,10000,9000,1BHK
Kithaganur Colony,8500,18000,13250,2BHK
Kithaganur Colony,15000,18000,16500,3BHK
Hosakerehalli,5000,7500,6250,1BHK
Hosakerehalli,12500,15000,13583.33,2BHK
Hosakerehalli,17500,18000,17750,3BHK
Wilson Garden,3500,15000,11750,1BHK
Wilson Garden,10000,25000,17107.14,2BHK
Wilson Garden,25000,27000,26000,3BHK
K C Krishna Reddy Layout,7000,17000,10800,2BHK
KR Puram Old Madras Road,13000,18000,16333.33,2BHK
Cooke Town,12000,24000,18000,2BHK
Jogupalya,8000,16000,11333.33,1BHK
Jogupalya,9000,25000,17222.22,2BHK
R T  Nagar,6000,11000,8144.33,1BHK
R T  Nagar,11000,19000,15312.5,2BHK
R T  Nagar,26000,30000,28000,3BHK
Mathikere,5500,12500,8590.91,1BHK
Mathikere,8000,20000,13155.56,2BHK
Mathikere,18000,28000,23000,3BHK
Rayasandra,4500,9500,7000,1BHK
Rayasandra,5000,16000,10555.56,2BHK
Kadugodi Industrial Area,4500,10500,6916.67,1BHK
Kadugodi Industrial Area,8000,12000,8666.67,2BHK
Kadugodi Industrial Area,16000,22000,19000,3BHK
Doddathoguru,5000,11000,7833.33,1BHK
Doddathoguru,13000,16000,14166.67,2BHK
Jyothi Nagar,7500,13000,9250,2BHK
Kudlu Gate,7500,16000,12833.33,1BHK
Kudlu Gate,9500,12000,11166.67,2BHK
Yelachanayakanapura,5000,6500,5500,1BHK
RMV,14000,35000,24000,2BHK
RMV,55000,1.3 L,94285.71,3BHK
Lal Bahadur Shastri Nagar,5000,6000,5500,1BHK
Devarachikkana Halli,4350,11500,8416.67,1BHK
Devarachikkana Halli,11000,17000,14333.33,2BHK
Maruthi Sevanagar,7000,15000,10200,1BHK
Maruthi Sevanagar,9000,17500,14180,2BHK
Maruthi Sevanagar,15000,25000,17000,3BHK
RMV Extension Stage 2,7000,16000,10833.33,1BHK
RMV Extension Stage 2,20000,65000,42000,3BHK
Sanjaynagar,20000,23000,21500,2BHK
Sanjaynagar,30000,1 L,47703.7,3BHK
Dargajogihalli,31000,35000,32533.8,3BHK
Lingarajapuram,6000,10500,7875,1BHK
Lingarajapuram,8000,18000,14800,2BHK
Thavarekere,10000,11000,10500,1BHK
hongasandra bangalore,4500,7500,6575,1BHK
hongasandra bangalore,8000,17300,14107.69,2BHK
hongasandra bangalore,18000,25000,23600,3BHK
Kamala Nagar,2000,9500,5500,1BHK
Kamala Nagar,8000,12500,10642.71,2BHK
Bommenahalli,8500,9000,8750,1BHK
Virupakshapura,11000,14500,13375,2BHK
Virupakshapura,30000,35000,32500,3BHK
Sanjay Nagar,5500,13000,9375,1BHK
Sanjay Nagar,29000,40000,36333.33,3BHK
Kodathi,4500,10500,7811,1BHK
Kodathi,10000,15500,12666.67,2BHK
Kodathi,14000,34000,24000,3BHK
Shanti Nagar,12000,20000,15000,1BHK
Shanti Nagar,15000,40000,22357.14,2BHK
Shivaji Nagar,25000,35000,28333.33,2BHK
Shivaji Nagar,22000,47000,34500,3BHK
Domlur,15000,16000,15666.67,1BHK
Domlur,32000,50000,41000,2BHK
Benson Town,14000,19000,16166.67,2BHK
Benson Town,18000,85000,49333.33,3BHK
Amruthahalli,7800,12000,9371.43,1BHK
Amruthahalli,11500,18000,15833.33,2BHK
Amruthahalli,11000,30000,20500,3BHK
Byrathi,7000,13500,9687.5,1BHK
Byrathi,12000,16000,14333.33,2BHK
Byrathi,35000,40000,38333.33,3BHK
Sarjapur Road Till Wipro,20000,45000,26266.67,2BHK
Cox Town,3250,15000,13791.67,1BHK
Cox Town,17500,25000,21500,2BHK
Jnana Ganga Nagar,6250,10750,8500,1BHK
Jnana Ganga Nagar,10750,15000,12875,2BHK
Kothanur,8000,9000,8666.67,1BHK
Kothanur,12000,18000,14500,2BHK
Ullal Uppanagar,6000,7000,6500,1BHK
Chikballapur,5000,6000,5533.33,1BHK
Kaval Byrasandra,6000,8000,7000,1BHK
Kaval Byrasandra,10000,19000,14000,2BHK
Kaval Byrasandra,18000,23000,20500,3BHK
KPC Layout,9500,12500,11250,1BHK
KPC Layout,12500,17500,15000,2BHK
Sunkadakatte,3500,7000,4800,1BHK
JP Nagar Phase 6,24000,42000,34750,3BHK
JP Nagar Phase 1,5500,14000,10500,1BHK
JP Nagar Phase 1,16000,44000,25318.18,2BHK
JP Nagar Phase 1,30000,60000,44550,3BHK
RT Nager,6500,13500,10216.67,1BHK
RT Nager,12500,13500,13000,2BHK
Sidedahalli,3000,6000,4500,1BHK
Singanayakanahalli,4000,5000,4500,1BHK
Singanayakanahalli,7500,10000,8750,2BHK
Ashok Nagar,16500,17000,16750,2BHK
Padmanabhanagar,5000,8000,6500,1BHK
Padmanabhanagar,11500,17000,13333.33,2BHK
R.K. Hegde Nagar,7500,9000,8000,1BHK
R.K. Hegde Nagar,9000,28000,14625,2BHK
Nandini Layout,4000,6000,5000,1BHK
Nandini Layout,8000,15000,12000,2BHK
Nandini Layout,27000,48000,37500,3BHK
Attiguppe,5500,8000,6750,1BHK
Attiguppe,5000,30000,16200,2BHK
Attiguppe,16500,17000,16750,3BHK
Parappana Agrahara,6000,9000,7648.57,1BHK
Parappana Agrahara,12000,13500,12750,2BHK
Bangalore City Municipal Corporation Layout,8500,18000,13250,2BHK
Choodasandra,3500,9000,7416.67,1BHK
Choodasandra,6500,15000,1062.5,2BHK
Doddakannelli,9500,13000,11125,1BHK
Doddakannelli,13500,1 L,22136.36,2BHK
Narayanapura Hennur Main Road,10000,16000,13000,2BHK
Narayanapura Hennur Main Road,21000,22000,21500,3BHK
Basapura,14000,21300,18075,3BHK
judicial layout,15000,23000,18000,2BHK
Bettadasapura,5000,7500,6125,1BHK
Bettadasapura,11000,12000,11500,2BHK
Ganganagar,26000,28000,27000,3BHK
K Channasandra,8500,13000,10750,2BHK
SMV Layout,7000,11000,9000,2BHK
Andrahalli,3200,50000,18300,1BHK
Andrahalli,8500,13500,11000,2BHK
Doddabommasandra,10000,15000,13600,2BHK
Halanayakanahalli,10000,20000,14250,2BHK
Jalahalli East,12500,16000,14500,2BHK
Kammmanhalli,22000,25000,23500,3BHK
Devinagar,8000,8500,8250,1BHK
Kadubeesanahalli,8500,13000,10760,1BHK
Bharat Nagar,7500,8000,7833.33,1BHK
Doddakammanahalli,11000,13500,12250,2BHK
Doddakammanahalli,15000,22050,18525,3BHK
Cheemasandra,3000,6000,4500,1BHK
Dooravani Nagar,7500,14000,10750,2BHK
Dooravani Nagar,13000,16550,14775,3BHK
Sai Baba Ashram,16000,23000,19500,2BHK
Sai Baba Ashram,16000,35000,26142.86,3BHK
Kvalasanahalli,15700,30000,24315.38,2BHK
Kvalasanahalli,30000,40000,37857.14,3BHK
Chikbanavara,4500,7000,5750,1BHK
Dommasandra Village,6000,8500,6833.33,1BHK
Kada Agrahara,8800,11000,9900,1BHK
Kada Agrahara,17000,18000,17500,3BHK
Neelasandra,13000,14000,13500,2BHK
Seshadripuram,14000,35000,21000,2BHK
Seshadripuram,15000,55000,41300,3BHK
JP Nagar Phase 4,20000,33000,28200,2BHK
JP Nagar Phase 4,32000,75000,46333.33,3BHK
Chandra Layout Extension,15800,18500,17150,2BHK
Chandra Layout Extension,15000,42000,29666.67,3BHK
